record,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,Were_underweight,Were_overweight,Were_obese
15593,No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Never,No,No,No,No,No
15594,No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Sometimes,Rarely,No,No,No,Yes,No
15595,No,No,Yes,13 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Most of the time,Always,Yes,No,Yes,No,No
15596,No,Yes,Yes,13 years old,Female,0 times,0 times,Most of the time,1,0 days,Rarely,Never,Yes,No, , , 
15597,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more, , , ,No, ,No,No,No
15598,Yes,No,No,14 years old,Male,1 time,4 or 5 times,Most of the time,3 or more,1 or 2 days,Never,Always,Yes,Yes,No,Yes,No
15599,No,Yes,No,13 years old,Male,0 times,1 time,Sometimes,1,3 to 5 days,Rarely,Never,No,Yes,No,No,No
15600,No,No,Yes,13 years old,Female,0 times,4 or 5 times,Most of the time,0,6 to 9 days,Always,Never,Yes,Yes,No,No,No
15601,No,No,No,13 years old,Female,10 or 11 times,0 times,Rarely,3 or more,0 days,Most of the time,Always,No,No,No,No,No
15602,No,Yes,No,15 years old,Male,0 times,1 time,Rarely,2,1 or 2 days,Sometimes,Rarely,No,Yes, , , 
15603,No,No,No,15 years old,Male,0 times,12 or more times,Never,3 or more,0 days,Sometimes, ,No,No,No,Yes,No
15604,Yes,No,No,13 years old,Female,1 time,0 times,Most of the time,3 or more,0 days,Always,Never,Yes,No,No,No,No
15605,No,Yes,Yes,13 years old,Male,0 times,0 times,Most of the time,3 or more,0 days,Most of the time,Most of the time,Yes,No,No,No,No
15606,No,No,No,13 years old,Female,0 times,0 times,Sometimes, ,1 or 2 days,Most of the time,Never,No,Yes,No,No,No
15607,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Never,No,No, , , 
15608,No,No,No,14 years old,Female,0 times,0 times,Most of the time,2,0 days,Most of the time,Never,Yes,No,No,No,No
15609,Yes,Yes,Yes,13 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
15610,Yes,No,No,15 years old,Male,0 times,0 times,Most of the time,1,1 or 2 days,Rarely,Always,Yes,Yes, , , 
15611,Yes,Yes,No,15 years old,Male,1 time,2 or 3 times,Sometimes,3 or more,1 or 2 days,Rarely, ,No,Yes,No,No,No
15612,Yes,Yes,Yes,14 years old,Female,1 time,1 time,Most of the time,3 or more,0 days,Sometimes,Rarely,Yes,No, , , 
15613,Yes,Yes,Yes,14 years old,Male,1 time,1 time,Most of the time,1,3 to 5 days,Rarely,Never,Yes,Yes, , , 
15614,No,No,No,13 years old,Male,0 times,1 time,Never,3 or more,3 to 5 days,Most of the time,Always,No,Yes, , , 
15615,Yes,Yes,Yes,15 years old,Male,0 times,2 or 3 times,Always,0,0 days,Never,Never,Yes,No, , , 
15616,No,Yes,No,16 years old,Female,0 times,0 times, ,0,0 days,Rarely,Always, ,No,No,No,No
15617,No,No,No,15 years old,Male,1 time,0 times,Never,2,0 days,Sometimes,Always,No,No, , , 
15618,Yes,No,Yes,16 years old,Male,1 time,1 time,Most of the time,1,1 or 2 days,Never,Most of the time,Yes,Yes,No,Yes,No
15619,Yes,No,No,13 years old,Male,0 times,0 times,Rarely,3 or more,1 or 2 days,Always,Always,No,Yes,No,Yes,No
15620,No,Yes,No,14 years old,Male,0 times,2 or 3 times,Most of the time,3 or more,1 or 2 days,Sometimes,Sometimes,Yes,Yes, , , 
15621,No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Never,No,No, , , 
15622,No,No,No,13 years old,Male,0 times,1 time,Never,3 or more,0 days,Always,Always,No,No,No,Yes,No
15623,No,No,No,13 years old,Female,0 times,0 times,Always,1,3 to 5 days,Sometimes,Never,Yes,Yes, , , 
15624,No,No,No,15 years old,Female,0 times,0 times,Always,1,0 days,Rarely,Rarely,Yes,No,No,No,No
15625,No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Sometimes,No,No, , , 
15626,No,Yes,No,13 years old,Female,0 times,0 times,Most of the time,2,0 days,Sometimes,Never,Yes,No, , , 
15627,No,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Sometimes,No,No,No,No,No
15628,No,No,Yes,14 years old,Female,2 or 3 times,0 times,Sometimes,1,3 to 5 days,Sometimes,Always,No,Yes,No,No,No
15629,No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,Yes,Yes
15630,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
15631,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more, , , ,No, ,No,No,No
15632,No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Rarely,Never,No,No,No,Yes,Yes
15633,No,Yes,Yes,14 years old,Male,1 time,1 time,Rarely,2,3 to 5 days,Most of the time,Always,No,Yes,No,No,No
15634,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Never,No,No,No,No,No
15635,No,No,No,16 years old,Male,0 times,1 time,Never,0, , , ,No, ,No,No,No
15636,No,No,No,14 years old, ,0 times,0 times,Never,2, , , ,No, , , , 
15637,No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more, , , ,No, ,No,No,No
15638,Yes, ,No,14 years old,Male,0 times,1 time,Sometimes, ,1 or 2 days,Never,Never,No,Yes, , , 
15639,Yes,Yes,No,14 years old,Male,1 time,1 time,Rarely,1, ,Sometimes,Most of the time,No, , , , 
15640,No,No,No,14 years old,Female,0 times,0 times,Rarely,3 or more,3 to 5 days,Rarely,Never,No,Yes,No,No,No
15641,No,No,No,14 years old,Female,0 times,0 times,Never,0,0 days,Rarely,Always,No,No, , , 
15642,Yes,Yes,Yes,14 years old,Female,0 times,1 time,Sometimes,1,3 to 5 days,Never,Never,No,Yes,No,No,No
15643,No,No,No,15 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
15644,No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No,No,Yes,Yes
15645,No,No, ,14 years old,Female,0 times,0 times,Rarely,3 or more, , , ,No, , , , 
15646,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Most of the time,No,No,No,No,No
15647,Yes,No,No,14 years old,Male,2 or 3 times,2 or 3 times,Sometimes,3 or more,6 to 9 days,Rarely,Always,No,Yes,No,Yes,Yes
15648,No,No,No,15 years old,Male,0 times,0 times,Never, ,1 or 2 days,Always,Always,No,Yes,No,Yes,Yes
15649,No,Yes,No,16 years old,Male,0 times,2 or 3 times,Rarely,2,6 to 9 days,Sometimes,Rarely,No,Yes,No,No,No
15650,Yes,No,Yes,14 years old,Female,1 time,0 times,Always, ,6 to 9 days,Never,Never,Yes,Yes,No,No,No
15651,Yes,Yes,No,14 years old,Male,2 or 3 times,1 time,Most of the time,1,1 or 2 days,Rarely,Most of the time,Yes,Yes,No,Yes,No
15652,No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No,No,Yes,No
15653,No,Yes,Yes,15 years old,Female,1 time,1 time,Always,1,10 or more days,Most of the time,Most of the time,Yes,Yes,No,Yes,No
15654,No,Yes,No,15 years old,Male,0 times,1 time,Most of the time,0,6 to 9 days,Always,Always,Yes,Yes, , , 
15655,No,Yes,No,15 years old,Male,0 times,0 times,Sometimes,0,0 days,Sometimes,Always,No,No, , , 
15656,No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Always,Rarely,No,Yes,No,No,No
15657,No,No,No,16 years old,Female,1 time,0 times,Always,3 or more,0 days,Sometimes,Rarely,Yes,No,No,Yes,Yes
15658,Yes,No,No,15 years old,Female,0 times,1 time,Rarely,0,6 to 9 days,Always,Sometimes,No,Yes,No,Yes,No
15659,Yes,Yes,No,15 years old,Female,0 times,0 times,Most of the time,3 or more,1 or 2 days,Always,Always,Yes,Yes,No,No,No
15660,No,No,No,15 years old,Male,0 times,0 times,Never,0,0 days,Most of the time,Sometimes,No,No, , , 
15661,Yes,Yes,Yes,15 years old,Male,0 times,1 time,Sometimes,3 or more,1 or 2 days,Most of the time,Rarely,No,Yes, , , 
15662,No,Yes,Yes,15 years old,Female,0 times,0 times,Sometimes,1,1 or 2 days,Most of the time,Never,No,Yes,No,No,No
15663,No,Yes,Yes,15 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Most of the time,Most of the time,No,Yes,No,No,No
15664,No,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Rarely,Sometimes,No,No,No,No,No
15665,No,No,No,15 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Always,Sometimes,No,No, , , 
15666,No,No,No,16 years old,Female,1 time,0 times,Most of the time,0,0 days,Never,Never,Yes,No,No,No,No
15667,No,Yes,No,15 years old,Female,0 times,0 times,Rarely,2,1 or 2 days,Sometimes,Sometimes,No,Yes,No,No,No
15668,Yes,Yes,Yes,16 years old,Female,1 time,1 time,Most of the time,1,6 to 9 days,Rarely,Never,Yes,Yes,No,Yes,No
15669,No,No,No,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Never,No,No,No,No,No
15670,Yes,No,Yes,17 years old,Female,0 times,1 time,Most of the time,2,10 or more days,Rarely,Rarely,Yes,Yes,No,Yes,No
15671,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Most of the time,No,No, , , 
15672,No,Yes,No,15 years old,Male,0 times,2 or 3 times,Rarely,3 or more,1 or 2 days,Sometimes,Always,No,Yes,No,No,No
15673,Yes,Yes,Yes,15 years old,Male,2 or 3 times,0 times,Sometimes,1,0 days,Sometimes,Most of the time,No,No,No,No,No
15674,No,Yes,No,15 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Sometimes,Rarely,No,Yes,No,No,No
15675,Yes,No,No,15 years old,Female,0 times,4 or 5 times,Most of the time,3 or more,1 or 2 days,Sometimes,Rarely,Yes,Yes,No,Yes,No
15676,No,No,No,15 years old,Male,0 times,0 times,Sometimes,1,0 days,Most of the time,Rarely,No,No,Yes,No,No
15677,Yes,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Never,No,No, , , 
15678,No,No,No,15 years old,Female,0 times,6 or 7 times,Sometimes,3 or more,6 to 9 days,Most of the time,Never,No,Yes,No,No,No
15679,No,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
15680,Yes,Yes,Yes,15 years old,Female,0 times,1 time,Most of the time,3 or more,0 days,Most of the time,Never,Yes,No,No,No,No
15681,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Most of the time,No,No, , , 
15682,No,No,No,15 years old,Female,0 times,0 times,Most of the time,2,0 days,Never,Always,Yes,No,No,No,No
15683,Yes,Yes,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No,No,No,No
15684,Yes,No,Yes,15 years old,Female,0 times,2 or 3 times,Always,2,1 or 2 days,Rarely,Never,Yes,Yes,No,No,No
15685,No,Yes,Yes,15 years old,Male,0 times,1 time,Rarely,0,0 days,Most of the time,Never,No,No,No,No,No
15686,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Rarely,No,No,No,No,No
15687,No,Yes,No,15 years old,Female,1 time,2 or 3 times,Sometimes,3 or more,1 or 2 days,Sometimes,Rarely,No,Yes,No,No,No
15688,Yes,No,No,17 years old,Male,0 times,4 or 5 times,Most of the time,0, , , ,Yes, ,No,No,No
15689,No,Yes,Yes,15 years old,Male,6 or 7 times,0 times,Most of the time,3 or more,1 or 2 days,Always,Most of the time,Yes,Yes,No,No,No
15690,Yes,Yes,No,17 years old,Male,1 time,1 time,Always,3 or more,0 days,Always,Never,Yes,No,No,No,No
15691,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Sometimes,No,No, , , 
15692,Yes,No,No,15 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Never,Never,Yes,No, , , 
15693,Yes,Yes,Yes,15 years old,Female,0 times,0 times,Sometimes,0,0 days,Rarely,Sometimes,No,No,No,No,No
15694,No,No,No,17 years old,Male,0 times,0 times,Rarely,3 or more,6 to 9 days,Rarely,Most of the time,No,Yes, , , 
15695,No,No,No,15 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Sometimes,Rarely,Yes,No,No,Yes,Yes
15696,No,No,No,16 years old,Male,0 times,0 times,Never,3 or more, ,Sometimes, ,No, , , , 
15697,No,Yes,No,15 years old,Male,0 times,1 time,Rarely,1,1 or 2 days,Sometimes,Most of the time,No,Yes,No,No,No
15698,Yes,No,No,15 years old,Female,0 times,0 times,Most of the time,0,1 or 2 days,Always,Always,Yes,Yes,No,No,No
15699,No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No,No,No,No
15700,No,No,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Always,Sometimes,No,Yes, , , 
15701,No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Most of the time,Most of the time,No,Yes,No,Yes,No
15702,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,1 or 2 days,Rarely,Always,No,Yes, , , 
15703,Yes,No,Yes,16 years old,Male,0 times,0 times,Sometimes,3 or more,1 or 2 days,Most of the time,Most of the time,No,Yes, , , 
15704,No,No,Yes,15 years old,Male,0 times,0 times,Sometimes,0,3 to 5 days,Always,Most of the time,No,Yes,No,Yes,Yes
15705,No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Sometimes,Always,No,No,No,No,No
15706,No,No,No,17 years old,Female,0 times,0 times,Most of the time,3 or more,1 or 2 days,Most of the time,Sometimes,Yes,Yes,No,Yes,No
15707,No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Always,Always,No,No,No,No,No
15708,Yes,No,Yes,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Most of the time,No,No, , , 
15709,Yes,Yes,Yes,16 years old,Male,12 or more times,0 times,Always,3 or more,0 days,Sometimes,Rarely,Yes,No,No,No,No
15710,No,Yes,Yes,16 years old,Female,1 time,1 time,Most of the time,2,1 or 2 days,Most of the time,Sometimes,Yes,Yes,No,No,No
15711,No,No,No,17 years old,Male,0 times,1 time,Sometimes,3 or more,6 to 9 days,Always,Sometimes,No,Yes,No,No,No
15712,No,No,No,17 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Rarely,Rarely,No,Yes,No,No,No
15713,No,No,No,16 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,No
15714,No,Yes,Yes,17 years old,Male,0 times,0 times,Sometimes,2,1 or 2 days,Always,Sometimes,No,Yes,No,No,No
15715,No,Yes,Yes,16 years old,Male,2 or 3 times,4 or 5 times,Rarely,0,6 to 9 days,Most of the time,Sometimes,No,Yes,No,No,No
15716,No,Yes,Yes,16 years old,Female,0 times,0 times,Rarely,0,1 or 2 days,Always,Never,No,Yes,No,No,No
15717,Yes,No,Yes,17 years old,Male,0 times,1 time,Sometimes,1,3 to 5 days,Always,Always,No,Yes, , , 
15718,No,No,No,16 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No,No,No,No
15719,Yes,No,No,17 years old,Male,0 times,0 times,Most of the time,1,1 or 2 days,Most of the time,Always,Yes,Yes,No,Yes,No
15720,No,No,No,16 years old,Female,0 times,0 times,Rarely,2,0 days,Most of the time,Rarely,No,No,No,Yes,No
15721,No,No,Yes,16 years old,Female,0 times,0 times,Rarely,2,0 days,Most of the time,Most of the time,No,No,No,No,No
15722,No,Yes,No,16 years old,Male,1 time,12 or more times,Sometimes,1,1 or 2 days,Most of the time,Always,No,Yes,No,No,No
15723,No,No,No,16 years old,Female,1 time,0 times,Rarely,3 or more,1 or 2 days,Rarely,Never,No,Yes,No,No,No
15724,No,No,No,17 years old,Male,0 times,0 times,Rarely,2,0 days,Sometimes,Sometimes,No,No,No,No,No
15725,No,No,No,16 years old,Male,6 or 7 times,0 times,Sometimes,2,0 days,Sometimes,Sometimes,No,No,No,No,No
15726,Yes,Yes,No,17 years old,Female,0 times,0 times,Sometimes,2,0 days,Sometimes,Always,No,No,No,No,No
15727,No,No,No,16 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Always,Always,No,No,No,No,No
15728,No,Yes,No,16 years old,Male,0 times,4 or 5 times,Most of the time,1,0 days,Most of the time,Never,Yes,No,No,Yes,Yes
15729,No,Yes,No,17 years old,Female,0 times,1 time,Sometimes,2,6 to 9 days,Sometimes,Never,No,Yes,No,No,No
15730,Yes,Yes,Yes,17 years old,Male,2 or 3 times,0 times,Sometimes,3 or more,0 days,Always,Sometimes,No,No,No,No,No
15731,No,No,Yes,16 years old,Male,4 or 5 times,2 or 3 times,Most of the time,3 or more,1 or 2 days,Always,Never,Yes,Yes,No,No,No
15732,No,Yes,No,16 years old,Female,1 time,0 times,Rarely,1,0 days,Rarely,Sometimes,No,No,No,No,No
15733, ,No,No,16 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Sometimes,No,No,No,No,No
15734,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
15735,No,No,Yes,13 years old,Female,0 times,0 times,Sometimes,1,0 days,Rarely,Never,No,No,No,Yes,No
15736,Yes,No,No,13 years old,Male,12 or more times,0 times,Most of the time,3 or more,1 or 2 days,Rarely,Sometimes,Yes,Yes,No,No,No
15737,No,No,No,13 years old,Male,0 times,0 times,Rarely,3 or more,1 or 2 days,Rarely,Rarely,No,Yes,No,Yes,Yes
15738,No,No,No,13 years old,Female,1 time,0 times,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
15739,No,Yes,No,14 years old,Female,0 times,0 times,Most of the time,1,1 or 2 days,Sometimes,Most of the time,Yes,Yes,No,No,No
15740,Yes,Yes,No,13 years old,Female,0 times,2 or 3 times,Most of the time,1,0 days,Rarely,Rarely,Yes,No,No,Yes,No
15741,Yes,Yes,Yes,14 years old,Female,1 time,0 times,Most of the time,2,0 days,Sometimes,Sometimes,Yes,No,No,No,No
15742,Yes,No,Yes,14 years old,Male,2 or 3 times,0 times,Sometimes,3 or more,6 to 9 days,Rarely,Never,No,Yes,No,No,No
15743,Yes,No,No,13 years old,Male,0 times,2 or 3 times,Sometimes, ,1 or 2 days,Sometimes,Sometimes,No,Yes,No,Yes,No
15744,Yes,No,No,13 years old,Female,2 or 3 times,0 times,Rarely,3 or more,0 days,Sometimes,Most of the time,No,No,No,No,No
15745,No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Rarely,Always,No,No,No,No,No
15746,No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,Yes,No,No
15747,No,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Most of the time,No,No,No,No,No
15748,No,No,No,13 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
15749,No,No,No,13 years old,Male,0 times,2 or 3 times,Sometimes,3 or more,0 days,Most of the time,Never,No,No,No,No,No
15750,No,No,No,14 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Sometimes,No,No,No,Yes,No
15751,No,No,No,14 years old,Female,0 times,1 time,Rarely,3 or more,0 days,Rarely,Never,No,No,No,No,No
15752,No,No,No,13 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Never,Never,No,No,No,No,No
15753,No,Yes,No,13 years old,Male,0 times,1 time,Sometimes,3 or more,3 to 5 days,Most of the time,Never,No,Yes,No,No,No
15754,No,No,No,14 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Rarely,Rarely,No,Yes,No,No,No
15755,No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,3 to 5 days,Sometimes,Rarely,No,Yes,No,No,No
15756,Yes,No,Yes,13 years old,Female,0 times,8 or 9 times,Rarely,0,3 to 5 days,Most of the time,Never,No,Yes,No,Yes,No
15757,No,No,Yes,14 years old,Female,0 times,0 times,Sometimes,0,0 days,Sometimes,Never,No,No,No,No,No
15758,Yes,Yes,Yes,13 years old, ,4 or 5 times,2 or 3 times,Rarely,2,0 days,Sometimes,Never,No,No, , , 
15759,Yes,Yes,Yes,13 years old,Female,4 or 5 times,1 time,Rarely,2,0 days,Sometimes,Never,No,No,No,No,No
15760,Yes,Yes,No,14 years old,Female,0 times,0 times,Sometimes,0,0 days,Always,Rarely,No,No,No,No,No
15761,No,No,No,15 years old,Male,0 times,0 times,Always,1,1 or 2 days,Sometimes,Never,Yes,Yes,No,No,No
15762,No,No,Yes,14 years old,Female,0 times,2 or 3 times,Most of the time,3 or more,0 days,Always,Always,Yes,No,No,Yes,No
15763,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Never,No,No,No,No,No
15764,No,No,No,15 years old,Female,1 time,0 times,Never,3 or more,0 days,Always,Never,No,No,No,No,No
15765,No,No,Yes,15 years old,Female,0 times,1 time,Most of the time,3 or more,0 days,Always,Rarely,Yes,No,No,No,No
15766,Yes,Yes,Yes,14 years old,Male,0 times,0 times,Most of the time,0,0 days,Always,Always,Yes,No,No,No,No
15767,No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,1 or 2 days,Never,Sometimes,No,Yes,No,Yes,No
15768,No,Yes,Yes,14 years old,Female,1 time,0 times,Most of the time,3 or more,1 or 2 days,Rarely,Rarely,Yes,Yes,No,No,No
15769, ,No,No,15 years old,Female,1 time,0 times,Most of the time,3 or more,0 days,Sometimes,Always,Yes,No,No,No,No
15770,Yes,Yes,Yes,14 years old,Female,0 times,0 times,Sometimes,0,1 or 2 days,Sometimes,Rarely,No,Yes,No,No,No
15771,No,No,Yes,15 years old,Male,0 times,2 or 3 times,Most of the time,3 or more,0 days,Most of the time,Most of the time,Yes,No,No,No,No
15772,No,No,No,14 years old,Male,0 times,0 times,Rarely,0,0 days,Most of the time,Rarely,No,No,No,No,No
15773,Yes,Yes,Yes,14 years old,Male,1 time,4 or 5 times,Most of the time,2,0 days,Most of the time,Sometimes,Yes,No,No,Yes,No
15774,No,Yes,No,15 years old,Male,0 times,2 or 3 times,Most of the time,2,3 to 5 days,Rarely,Rarely,Yes,Yes,No,No,No
15775,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Never,Most of the time,No,No,No,Yes,Yes
15776,Yes,Yes,Yes,14 years old,Female,0 times,0 times,Always,0,6 to 9 days,Never,Never,Yes,Yes,No,Yes,No
15777,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Rarely,Always,No,No,No,No,No
15778,No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,1 or 2 days,Never,Never,No,Yes,No,No,No
15779,No,No,No,16 years old,Female,0 times,0 times,Never,3 or more,1 or 2 days,Most of the time,Most of the time,No,Yes,No,No,No
15780,No,No,No,14 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Sometimes,Sometimes,No,Yes, , , 
15781,No,No,No,14 years old,Male,0 times,0 times,Rarely,2,10 or more days,Most of the time,Sometimes,No,Yes, , , 
15782,Yes,Yes,No,14 years old,Female,2 or 3 times,1 time,Always,2,3 to 5 days,Never,Never,Yes,Yes,No,No,No
15783,No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Most of the time,Most of the time,No,Yes,No,Yes,No
15784,No,No,No,15 years old,Male,0 times,2 or 3 times,Sometimes,0,0 days,Always,Never,No,No,No,Yes,No
15785,No,Yes,No,15 years old,Male,12 or more times,10 or 11 times,Sometimes,3 or more,3 to 5 days,Never,Sometimes,No,Yes,No,Yes,No
15786,No,No,Yes,16 years old,Female,0 times,0 times,Always,2,0 days,Rarely,Never,Yes,No,No,Yes,No
15787,Yes,No,Yes,16 years old,Female,1 time,12 or more times,Always,3 or more,0 days,Rarely,Never,Yes,No, , , 
15788, ,No,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Sometimes,Rarely,No,No,No,Yes,Yes
15789,No,Yes,Yes,15 years old,Female,0 times,0 times,Always,1,1 or 2 days,Rarely,Never,Yes,Yes, , , 
15790,No,Yes,No,17 years old,Female,0 times,1 time,Most of the time,2,1 or 2 days,Sometimes,Never,Yes,Yes,No,Yes,No
15791,No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Always,Always,No,Yes,No,No,No
15792,No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No,No,Yes,No
15793,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No,No,No,No
15794,Yes,Yes,Yes,16 years old,Male,0 times,0 times,Most of the time,2,3 to 5 days,Rarely,Never,Yes,Yes, , , 
15795,No,No,No,16 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No,No,No,No
15796,No,No,Yes,15 years old,Female,0 times,1 time,Always,3 or more,1 or 2 days,Rarely,Never,Yes,Yes,No,No,No
15797,No,No,No,16 years old,Male,0 times,0 times,Rarely,2,1 or 2 days,Always,Always,No,Yes,No,No,No
15798,No,No,Yes,17 years old,Female,0 times,0 times,Rarely,0,6 to 9 days,Rarely,Sometimes,No,Yes,No,Yes,No
15799,No,No,No,16 years old,Female,0 times,0 times,Sometimes,0,3 to 5 days,Always,Most of the time,No,Yes, , , 
15800,No,Yes,Yes,17 years old,Female,0 times,0 times,Sometimes,3 or more,3 to 5 days,Always,Most of the time,No,Yes,No,No,No
15801,No,No,No,15 years old,Male,0 times,0 times,Sometimes,1,0 days,Rarely,Sometimes,No,No,No,No,No
15802,No,Yes,Yes,15 years old,Female,2 or 3 times,2 or 3 times,Most of the time,3 or more,1 or 2 days,Always,Rarely,Yes,Yes,No,No,No
15803,No,No,No,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Rarely,No,No,No,No,No
15804,No,No,Yes,16 years old,Male,1 time,0 times,Most of the time,2,1 or 2 days,Most of the time,Most of the time,Yes,Yes,No,No,No
15805,No,No,Yes,16 years old,Female,0 times,0 times,Sometimes,2,3 to 5 days,Sometimes,Most of the time,No,Yes,No,No,No
15806,Yes,Yes,Yes,15 years old,Female,0 times,4 or 5 times,Always,1,3 to 5 days,Most of the time,Never,Yes,Yes,No,No,No
15807,Yes,Yes,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Sometimes,Sometimes,No,Yes,No,Yes,No
15808,No,No,Yes,17 years old,Male,0 times,2 or 3 times,Rarely,0,1 or 2 days,Rarely,Rarely,No,Yes,No,No,No
15809,Yes,No,No,15 years old, ,2 or 3 times,2 or 3 times,Sometimes,1,6 to 9 days,Sometimes,Rarely,No,Yes, , , 
15810,No,No,No,16 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Sometimes,Never,Yes,No,No,No,No
15811,Yes,Yes,No,15 years old,Female,0 times,0 times,Rarely,2,3 to 5 days,Never,Sometimes,No,Yes,No,No,No
